ID,Category,Skills
3065,Software Engineer,"System Design, Docker, Java, REST APIs, Spring Boot, Agile, Git"
3066,Product Manager,"Stakeholder Management, Agile, User Stories, Scrum"
3067,Product Manager,"Agile, Product Roadmap, Scrum, User Stories, Stakeholder Management"
3068,Software Engineer,"Docker, Agile, System Design, Java"
3069,Data Analyst,"Power BI, SQL, Data Cleaning, Reporting, Excel"
3070,Software Engineer,"System Design, Spring Boot, Java"
3071,Data Analyst,"Machine Learning, NLP, Pandas, Python, Deep Learning, SQL"
3072,Data Analyst,"Deep Learning, Statistics, Pandas, Python, NLP, Machine Learning"
3073,Software Engineer,"Git, Java, System Design, Agile"
3074,Data Analyst,"NLP, Deep Learning, Pandas, Machine Learning, Statistics, Python"
3075,Data Analyst,"NLP, Statistics, Machine Learning, Pandas"
3076,Data Analyst,"Python, NLP, Pandas"
3077,ML Engineer,"Cloud, MLOps, TensorFlow"
3078,Data Analyst,"Python, Pandas, Machine Learning, SQL"
3079,Data Analyst,"Pandas, Machine Learning, Python, Deep Learning"
3080,Software Engineer,"Java, Git, REST APIs, Docker, System Design, Spring Boot, Agile"
3081,ML Engineer,"Cloud, TensorFlow, PyTorch, Python, Computer Vision"
3082,Product Manager,"User Stories, Scrum, Product Roadmap, Agile"
3083,Data Analyst,"Power BI, Excel, Data Cleaning, SQL, Tableau, Reporting"
3084,Data Analyst,"Tableau, Reporting, SQL, Power BI, Data Cleaning, Excel"
3085,Software Engineer,"Java, Git, Docker, Spring Boot"
3086,Data Analyst,"Data Cleaning, Reporting, Excel, Tableau"
3087,ML Engineer,"MLOps, Cloud, Keras, Python, TensorFlow, PyTorch, Computer Vision"
3088,Product Manager,"Agile, Scrum, Stakeholder Management, User Stories"
3089,Data Analyst,"Python, Machine Learning, NLP"
3090,Software Engineer,"Agile, REST APIs, System Design"
3091,Data Analyst,"Python, Pandas, Machine Learning, NLP, Deep Learning, Statistics, SQL"
3092,ML Engineer,"Keras, MLOps, Cloud, Python"
3093,Data Analyst,"Python, NLP, SQL, Deep Learning, Machine Learning"
3094,Data Analyst,"Statistics, Pandas, SQL"
3095,Software Engineer,"Agile, Docker, Java, Git, Spring Boot, REST APIs, System Design"
3096,Data Analyst,"SQL, Power BI, Tableau, Reporting, Excel, Data Cleaning"
3097,Data Analyst,"Deep Learning, SQL, Python, Statistics"
3098,Software Engineer,"Docker, Java, Agile, System Design"
3099,Data Analyst,"NLP, Python, Statistics, Deep Learning, SQL, Pandas"
3100,ML Engineer,"Cloud, Python, Computer Vision, Keras, TensorFlow"
3101,Data Analyst,"SQL, Excel, Tableau, Power BI, Reporting, Data Cleaning"
3102,Data Analyst,"SQL, Tableau, Power BI, Data Cleaning, Excel, Reporting"
3103,Data Analyst,"Pandas, Machine Learning, Statistics, SQL, Python, Deep Learning, NLP"
3104,Software Engineer,"Agile, Docker, Git, Spring Boot, System Design, Java, REST APIs"
3105,ML Engineer,"Keras, PyTorch, Python, Computer Vision, TensorFlow, Cloud"
3106,Data Analyst,"Excel, Reporting, Tableau, Power BI, SQL"
3107,Software Engineer,"REST APIs, Agile, Java, System Design, Docker, Git"
3108,Data Analyst,"SQL, Deep Learning, Python"
3109,Product Manager,"Product Roadmap, Stakeholder Management, Agile, User Stories, Scrum"
3110,Data Analyst,"Pandas, NLP, Python, SQL, Deep Learning, Machine Learning"
3111,Product Manager,"Scrum, User Stories, Stakeholder Management, Product Roadmap"
3112,ML Engineer,"PyTorch, Computer Vision, Cloud, Keras"
3113,Software Engineer,"Java, Agile, Spring Boot, Docker, REST APIs, System Design"
3114,Data Analyst,"Statistics, SQL, Deep Learning, Pandas, Python, Machine Learning, NLP"
3115,Software Engineer,"Agile, Docker, Git, System Design, Java"
3116,Data Analyst,"Reporting, Excel, Data Cleaning, Tableau, Power BI"
3117,Data Analyst,"Power BI, Data Cleaning, Excel, Tableau"
3118,Data Analyst,"Python, Statistics, SQL, Deep Learning, Pandas"
3119,Software Engineer,"Docker, Agile, REST APIs, System Design"
3120,Data Analyst,"Tableau, Reporting, SQL, Power BI, Data Cleaning, Excel"
3121,Software Engineer,"Spring Boot, REST APIs, Java, Git, Agile, Docker"
3122,Software Engineer,"Agile, Git, System Design, Docker, Java"
3123,ML Engineer,"TensorFlow, PyTorch, Python, Computer Vision"
3124,Data Analyst,"Deep Learning, Pandas, NLP, Statistics, Python"
3125,Data Analyst,"Data Cleaning, Tableau, Excel, Reporting"
3126,Data Analyst,"Excel, Reporting, Tableau, SQL, Power BI"
3127,Data Analyst,"Tableau, Reporting, Excel"
3128,ML Engineer,"Cloud, Keras, Python"
3129,Product Manager,"Product Roadmap, Stakeholder Management, Scrum, User Stories"
3130,Software Engineer,"Spring Boot, Java, Docker, Git, REST APIs"
3131,Data Analyst,"Excel, Reporting, Power BI"
3132,Product Manager,"User Stories, Agile, Product Roadmap, Stakeholder Management"
3133,Data Analyst,"Statistics, Deep Learning, SQL, Python, Machine Learning, Pandas"
3134,Data Analyst,"Data Cleaning, Reporting, Power BI"
3135,ML Engineer,"TensorFlow, PyTorch, MLOps, Keras, Cloud, Computer Vision"
3136,Software Engineer,"Agile, REST APIs, Spring Boot, Git, Java, Docker"
3137,ML Engineer,"Python, Cloud, MLOps, PyTorch, TensorFlow, Keras, Computer Vision"
3138,Product Manager,"Agile, User Stories, Scrum, Product Roadmap"
3139,Software Engineer,"REST APIs, Spring Boot, Git, System Design, Agile"
3140,Data Analyst,"Data Cleaning, Tableau, Excel"
3141,Product Manager,"Product Roadmap, User Stories, Stakeholder Management, Scrum"
3142,Product Manager,"Stakeholder Management, Agile, Product Roadmap"
3143,Product Manager,"Scrum, Stakeholder Management, Product Roadmap, User Stories"
3144,Software Engineer,"Agile, Docker, Spring Boot, System Design, Git, REST APIs"
3145,Software Engineer,"System Design, Java, REST APIs, Spring Boot"
3146,Product Manager,"Agile, Stakeholder Management, Scrum"
3147,Software Engineer,"Docker, Agile, REST APIs"
3148,ML Engineer,"Keras, PyTorch, TensorFlow, MLOps"
3149,Data Analyst,"Power BI, SQL, Reporting, Tableau, Excel"
3150,Product Manager,"User Stories, Product Roadmap, Agile, Stakeholder Management, Scrum"
3151,Software Engineer,"Git, System Design, Java"
3152,Software Engineer,"Git, System Design, Docker, Java"
3153,ML Engineer,"Computer Vision, Cloud, Keras, TensorFlow, Python, MLOps"
3154,Product Manager,"User Stories, Product Roadmap, Agile, Stakeholder Management"
3155,Data Analyst,"Pandas, SQL, Machine Learning, Statistics, NLP, Python"
3156,Product Manager,"User Stories, Agile, Product Roadmap"
3157,Product Manager,"Agile, User Stories, Scrum, Stakeholder Management"
3158,Data Analyst,"Python, NLP, SQL, Statistics, Deep Learning, Machine Learning, Pandas"
3159,Software Engineer,"System Design, Docker, Spring Boot"
3160,ML Engineer,"Cloud, Python, TensorFlow, Computer Vision"
3161,Software Engineer,"Agile, Docker, Java, REST APIs"
3162,Data Analyst,"Pandas, SQL, Deep Learning, Python, NLP"
3163,ML Engineer,"TensorFlow, Computer Vision, MLOps, Python, PyTorch"
3164,ML Engineer,"Cloud, PyTorch, MLOps, TensorFlow"
3165,Product Manager,"Scrum, User Stories, Product Roadmap, Agile, Stakeholder Management"
3166,ML Engineer,"Python, PyTorch, MLOps, TensorFlow, Keras"
3167,ML Engineer,"Python, Keras, TensorFlow, MLOps"
3168,Data Analyst,"Machine Learning, NLP, Python, Deep Learning, SQL"
3169,Data Analyst,"SQL, Excel, Reporting, Power BI"
3170,Product Manager,"Product Roadmap, User Stories, Agile, Scrum"
3171,Product Manager,"Scrum, Stakeholder Management, User Stories, Product Roadmap"
3172,ML Engineer,"PyTorch, Keras, Computer Vision, TensorFlow, Cloud"
3173,Data Analyst,"Power BI, Reporting, Data Cleaning, Tableau, SQL"
3174,Product Manager,"Scrum, Agile, Stakeholder Management, Product Roadmap, User Stories"
3175,Product Manager,"Scrum, Product Roadmap, Agile, Stakeholder Management, User Stories"
3176,Data Analyst,"Data Cleaning, Reporting, Excel, SQL, Power BI"
3177,Product Manager,"User Stories, Stakeholder Management, Scrum, Product Roadmap"
3178,Data Analyst,"Python, Machine Learning, SQL, Statistics"
3179,ML Engineer,"Cloud, TensorFlow, Python, PyTorch, Keras, Computer Vision"
3180,Data Analyst,"Deep Learning, NLP, Pandas, Statistics, SQL, Python"
3181,Software Engineer,"Java, Spring Boot, System Design, Git, REST APIs"
3182,Software Engineer,"Spring Boot, Java, Git, Docker, Agile, REST APIs"
3183,ML Engineer,"Cloud, Computer Vision, TensorFlow, PyTorch, Python, MLOps, Keras"
3184,Product Manager,"Scrum, Agile, Stakeholder Management, Product Roadmap, User Stories"
3185,Product Manager,"User Stories, Scrum, Stakeholder Management, Product Roadmap"
3186,ML Engineer,"PyTorch, Cloud, Computer Vision"
3187,Data Analyst,"Reporting, Data Cleaning, SQL, Power BI, Excel"
3188,ML Engineer,"Python, MLOps, Computer Vision, Cloud, TensorFlow, Keras"
3189,ML Engineer,"Python, Computer Vision, TensorFlow, Keras"
3190,Data Analyst,"Reporting, SQL, Data Cleaning, Tableau, Power BI, Excel"
3191,Product Manager,"Stakeholder Management, Agile, Scrum, User Stories, Product Roadmap"
3192,Product Manager,"Product Roadmap, Agile, User Stories"
3193,Software Engineer,"Git, Java, Docker"
3194,Data Analyst,"SQL, Power BI, Tableau"
3195,Software Engineer,"REST APIs, Docker, Git, Java, Agile, System Design, Spring Boot"
3196,Product Manager,"Agile, Scrum, Product Roadmap, User Stories, Stakeholder Management"
3197,Data Analyst,"SQL, Deep Learning, Statistics, Machine Learning"
3198,ML Engineer,"TensorFlow, MLOps, Cloud, Python, PyTorch, Keras"
3199,Data Analyst,"Data Cleaning, Excel, Reporting, SQL, Tableau"
3200,ML Engineer,"MLOps, Keras, Python, TensorFlow, Computer Vision, Cloud, PyTorch"
3201,ML Engineer,"TensorFlow, Cloud, Python"
3202,Data Analyst,"Pandas, SQL, NLP, Statistics"
3203,Product Manager,"Product Roadmap, Agile, Scrum, User Stories, Stakeholder Management"
3204,Software Engineer,"System Design, Java, REST APIs, Docker, Agile"
3205,Software Engineer,"Docker, Git, Spring Boot, Agile"
3206,Software Engineer,"REST APIs, Docker, Git, Spring Boot, System Design, Agile"
3207,Data Analyst,"Tableau, Power BI, Data Cleaning, Reporting, SQL, Excel"
3208,Data Analyst,"Statistics, NLP, Deep Learning, Python, Machine Learning, Pandas"
3209,Data Analyst,"Reporting, Data Cleaning, Power BI"
3210,ML Engineer,"Python, Keras, TensorFlow, Cloud"
3211,Product Manager,"Agile, Product Roadmap, Scrum, Stakeholder Management, User Stories"
3212,ML Engineer,"Computer Vision, PyTorch, MLOps, Cloud, Keras"
3213,ML Engineer,"TensorFlow, Computer Vision, Cloud"
3214,Software Engineer,"System Design, Git, Spring Boot"
3215,Software Engineer,"System Design, Docker, Spring Boot"
3216,Data Analyst,"Tableau, Excel, SQL"
3217,Product Manager,"Scrum, User Stories, Stakeholder Management"
3218,ML Engineer,"Python, Computer Vision, MLOps, Cloud, PyTorch, Keras"
3219,Data Analyst,"Statistics, Python, Pandas, Deep Learning, NLP, SQL"
3220,Software Engineer,"Git, Spring Boot, Docker, Agile, System Design, REST APIs, Java"
3221,ML Engineer,"Python, Computer Vision, Cloud, TensorFlow"
3222,Data Analyst,"Reporting, Excel, Data Cleaning, Tableau"
3223,Software Engineer,"Docker, REST APIs, Git, Agile, System Design, Java, Spring Boot"
3224,Data Analyst,"Machine Learning, NLP, Pandas"
3225,Data Analyst,"NLP, Pandas, Deep Learning, SQL, Python, Statistics"
3226,Data Analyst,"Machine Learning, Python, NLP"
3227,Data Analyst,"Deep Learning, SQL, NLP, Pandas"
3228,Data Analyst,"Machine Learning, Statistics, Python, NLP, SQL"
3229,Data Analyst,"Machine Learning, Python, Pandas, Statistics, NLP"
3230,Data Analyst,"Statistics, Machine Learning, Python, Deep Learning, SQL, NLP, Pandas"
3231,ML Engineer,"Keras, Computer Vision, Cloud, Python"
3232,Data Analyst,"SQL, Python, Pandas, Statistics"
3233,Data Analyst,"Python, NLP, Deep Learning"
3234,Product Manager,"Product Roadmap, Scrum, User Stories"
3235,ML Engineer,"TensorFlow, Python, Cloud, MLOps, Computer Vision, Keras"
3236,Data Analyst,"SQL, Power BI, Tableau"
3237,Product Manager,"Stakeholder Management, Scrum, Product Roadmap, User Stories, Agile"
3238,Data Analyst,"Statistics, SQL, Machine Learning, Python, Pandas, NLP, Deep Learning"
3239,Data Analyst,"Excel, Data Cleaning, Tableau, SQL, Reporting"
3240,Software Engineer,"System Design, Git, Spring Boot, Docker, Java, Agile"
3241,ML Engineer,"Computer Vision, Keras, TensorFlow, Python"
3242,ML Engineer,"Cloud, PyTorch, TensorFlow, MLOps, Computer Vision"
3243,Product Manager,"Agile, Scrum, Product Roadmap, Stakeholder Management"
3244,Data Analyst,"Power BI, Excel, Tableau, Reporting, SQL"
3245,Product Manager,"Product Roadmap, Scrum, Stakeholder Management"
3246,Software Engineer,"Java, Git, Docker"
3247,Product Manager,"Agile, Stakeholder Management, User Stories"
3248,Product Manager,"Agile, Product Roadmap, Scrum"
3249,ML Engineer,"MLOps, TensorFlow, Keras"
3250,Data Analyst,"Reporting, SQL, Data Cleaning, Power BI, Excel"
3251,ML Engineer,"Cloud, Keras, Python, MLOps, PyTorch, Computer Vision"
3252,ML Engineer,"Python, MLOps, Computer Vision"
3253,Data Analyst,"Machine Learning, NLP, Deep Learning"
3254,Data Analyst,"Statistics, SQL, Python, Pandas"
3255,Data Analyst,"NLP, Statistics, SQL, Pandas, Machine Learning, Python, Deep Learning"
3256,Data Analyst,"Pandas, SQL, Statistics, Python, NLP, Deep Learning"
3257,Software Engineer,"Agile, Spring Boot, Git, Docker"
3258,Data Analyst,"Excel, Power BI, Reporting, Tableau"
3259,Software Engineer,"System Design, Java, Git, REST APIs, Agile, Spring Boot, Docker"
3260,Data Analyst,"SQL, Machine Learning, Pandas, NLP, Deep Learning, Python, Statistics"
3261,Data Analyst,"Statistics, Python, Pandas, SQL, Deep Learning"
3262,Software Engineer,"REST APIs, Agile, Git, Spring Boot, Java, System Design, Docker"
3263,ML Engineer,"Keras, Cloud, PyTorch, TensorFlow, Computer Vision"
3264,Product Manager,"Product Roadmap, Agile, User Stories, Stakeholder Management"
3265,ML Engineer,"TensorFlow, Python, MLOps, Computer Vision, Cloud, PyTorch"
3266,ML Engineer,"TensorFlow, Python, MLOps, Keras, PyTorch, Cloud, Computer Vision"
3267,ML Engineer,"Cloud, Python, TensorFlow, Keras, PyTorch"
3268,Data Analyst,"Excel, Data Cleaning, SQL, Power BI, Tableau"
3269,Data Analyst,"NLP, Python, SQL"
3270,ML Engineer,"Keras, TensorFlow, Python"
3271,Data Analyst,"SQL, Tableau, Power BI, Data Cleaning, Excel"
3272,Software Engineer,"Agile, Spring Boot, Java, Docker, REST APIs, Git, System Design"
3273,Data Analyst,"NLP, Pandas, Machine Learning"
3274,Software Engineer,"System Design, Spring Boot, Agile, Docker, Git, Java"
3275,Data Analyst,"SQL, Reporting, Excel, Data Cleaning, Power BI, Tableau"
3276,ML Engineer,"Cloud, MLOps, PyTorch, Keras, Python, TensorFlow, Computer Vision"
3277,Product Manager,"User Stories, Stakeholder Management, Agile"
3278,Data Analyst,"Statistics, Machine Learning, Python, Pandas"
3279,Product Manager,"Scrum, Agile, User Stories, Product Roadmap, Stakeholder Management"
3280,Product Manager,"Agile, User Stories, Scrum, Stakeholder Management, Product Roadmap"
3281,Product Manager,"Stakeholder Management, Scrum, Product Roadmap, User Stories"
3282,Software Engineer,"Git, Agile, Spring Boot, Java, REST APIs"
3283,ML Engineer,"Cloud, MLOps, Computer Vision, TensorFlow, PyTorch"
3284,Data Analyst,"NLP, Statistics, SQL, Python, Machine Learning"
3285,ML Engineer,"Computer Vision, Cloud, PyTorch, MLOps, Python, TensorFlow, Keras"
3286,Software Engineer,"Git, Agile, Docker, Spring Boot, Java"
3287,Software Engineer,"REST APIs, Agile, Java, Git, System Design"
3288,Data Analyst,"Excel, Tableau, Data Cleaning"
3289,Software Engineer,"System Design, Git, Java, Agile, REST APIs, Docker"
3290,Software Engineer,"Agile, System Design, REST APIs, Docker, Java"
3291,Software Engineer,"Agile, Git, Java, Spring Boot"
3292,Product Manager,"Product Roadmap, User Stories, Agile, Scrum"
3293,Data Analyst,"Python, Deep Learning, NLP, Statistics"
3294,Data Analyst,"SQL, Pandas, Statistics"
3295,Software Engineer,"Java, System Design, Agile, Docker, REST APIs, Git"
3296,Data Analyst,"Power BI, Excel, SQL, Tableau, Reporting, Data Cleaning"
3297,Product Manager,"Scrum, Stakeholder Management, Agile, Product Roadmap"
3298,Data Analyst,"Data Cleaning, Tableau, Power BI, Reporting"
3299,Data Analyst,"Deep Learning, NLP, Statistics, Python, Machine Learning"
3300,Data Analyst,"Python, NLP, Statistics, Pandas, Deep Learning, SQL, Machine Learning"
3301,ML Engineer,"Keras, Cloud, Computer Vision, Python"
3302,Data Analyst,"Machine Learning, Pandas, Statistics, NLP, Python"
3303,Software Engineer,"System Design, Agile, Docker, Spring Boot, REST APIs, Java, Git"
3304,Software Engineer,"Spring Boot, Git, REST APIs, System Design"
3305,Data Analyst,"Machine Learning, NLP, SQL, Deep Learning"
3306,Product Manager,"Product Roadmap, User Stories, Scrum, Agile, Stakeholder Management"
3307,Product Manager,"User Stories, Stakeholder Management, Product Roadmap, Scrum, Agile"
3308,ML Engineer,"Python, MLOps, Computer Vision, PyTorch, Keras, TensorFlow, Cloud"
3309,Software Engineer,"Spring Boot, Docker, Java, REST APIs, System Design"
3310,Data Analyst,"Reporting, Power BI, Excel"
3311,Software Engineer,"System Design, REST APIs, Spring Boot"
3312,Data Analyst,"Deep Learning, NLP, Machine Learning, Python"
3313,Data Analyst,"Excel, Tableau, Reporting"
3314,Data Analyst,"Deep Learning, SQL, NLP, Pandas, Machine Learning, Python, Statistics"
3315,Product Manager,"Agile, User Stories, Product Roadmap, Scrum, Stakeholder Management"
3316,Product Manager,"Agile, Scrum, Product Roadmap, Stakeholder Management"
3317,Product Manager,"Scrum, Stakeholder Management, User Stories, Product Roadmap, Agile"
3318,Product Manager,"User Stories, Scrum, Stakeholder Management, Agile"
3319,ML Engineer,"Python, TensorFlow, Cloud, MLOps, Keras, Computer Vision"
3320,Software Engineer,"Docker, Agile, System Design"
3321,Data Analyst,"Excel, SQL, Reporting, Tableau, Power BI"
3322,Data Analyst,"Deep Learning, Machine Learning, Statistics, NLP, Python, SQL, Pandas"
3323,ML Engineer,"MLOps, Computer Vision, Python"
3324,Data Analyst,"Power BI, Excel, Reporting, Tableau"
3325,Software Engineer,"Agile, Docker, Spring Boot, REST APIs, System Design, Git, Java"
3326,Software Engineer,"Docker, System Design, Git"
3327,Product Manager,"Scrum, Agile, User Stories"
3328,Data Analyst,"Reporting, Excel, SQL, Tableau, Data Cleaning"
3329,Data Analyst,"Power BI, Excel, Data Cleaning"
3330,Product Manager,"User Stories, Product Roadmap, Stakeholder Management, Agile"
3331,Data Analyst,"Power BI, Data Cleaning, Tableau"
3332,Product Manager,"Stakeholder Management, Agile, User Stories"
3333,ML Engineer,"TensorFlow, Keras, PyTorch"
3334,Data Analyst,"NLP, Statistics, SQL, Python, Pandas, Machine Learning"
3335,Data Analyst,"Tableau, SQL, Reporting, Power BI, Data Cleaning, Excel"
3336,Software Engineer,"Java, Git, REST APIs, Agile, Spring Boot, Docker, System Design"
3337,Software Engineer,"Spring Boot, Docker, Agile, Git, System Design"
3338,Software Engineer,"Agile, System Design, Docker, REST APIs, Java"
3339,ML Engineer,"TensorFlow, MLOps, PyTorch, Python"
3340,Data Analyst,"NLP, Machine Learning, Statistics, SQL, Python"
3341,Software Engineer,"Docker, System Design, Agile"
3342,Product Manager,"Scrum, User Stories, Stakeholder Management, Agile"
3343,Data Analyst,"Power BI, Tableau, SQL, Data Cleaning, Reporting"
3344,ML Engineer,"MLOps, Keras, Python, TensorFlow, PyTorch, Computer Vision, Cloud"
3345,ML Engineer,"TensorFlow, Cloud, PyTorch, Computer Vision, Python, MLOps"
3346,ML Engineer,"MLOps, Cloud, Computer Vision, Python"
3347,ML Engineer,"Computer Vision, Keras, Python, Cloud, PyTorch"
3348,Data Analyst,"Machine Learning, Python, Deep Learning, NLP, Statistics, Pandas, SQL"
3349,Data Analyst,"Deep Learning, SQL, NLP, Statistics"
3350,Data Analyst,"Machine Learning, SQL, NLP, Pandas, Deep Learning"
3351,Data Analyst,"Data Cleaning, Power BI, SQL, Reporting"
3352,Data Analyst,"Power BI, Excel, Data Cleaning, SQL"
3353,Data Analyst,"SQL, Tableau, Excel, Power BI, Reporting"
3354,Product Manager,"Stakeholder Management, User Stories, Scrum, Product Roadmap, Agile"
3355,Software Engineer,"Agile, REST APIs, Spring Boot, Git, System Design"
3356,Software Engineer,"Git, Docker, Agile, Java, Spring Boot"
3357,Software Engineer,"Agile, System Design, Spring Boot, REST APIs"
3358,Product Manager,"Agile, User Stories, Product Roadmap"
3359,Data Analyst,"Tableau, Data Cleaning, Power BI, Excel, SQL"
3360,Software Engineer,"REST APIs, Agile, Spring Boot"
3361,Product Manager,"Scrum, Agile, Product Roadmap"
3362,Software Engineer,"Java, Agile, REST APIs, Spring Boot, Git, System Design"
3363,ML Engineer,"TensorFlow, Python, PyTorch, Computer Vision, Cloud"
3364,ML Engineer,"Keras, MLOps, Cloud, Python, Computer Vision"
3365,Data Analyst,"Pandas, SQL, Statistics"
3366,ML Engineer,"Cloud, Keras, TensorFlow, MLOps"
3367,Data Analyst,"Tableau, SQL, Data Cleaning, Excel, Power BI"
3368,ML Engineer,"Computer Vision, Cloud, Keras, TensorFlow, PyTorch, Python"
3369,Data Analyst,"Power BI, SQL, Tableau, Excel, Data Cleaning"
3370,Data Analyst,"NLP, Pandas, SQL"
3371,ML Engineer,"PyTorch, Keras, TensorFlow, MLOps, Computer Vision, Python, Cloud"
3372,ML Engineer,"Python, Keras, Computer Vision, PyTorch"
3373,Data Analyst,"Deep Learning, SQL, Statistics, Machine Learning, Python, Pandas, NLP"
3374,Software Engineer,"Spring Boot, Docker, Git, System Design"
3375,Software Engineer,"Spring Boot, System Design, Git, REST APIs, Agile, Java"
3376,Product Manager,"Product Roadmap, Scrum, Agile, Stakeholder Management, User Stories"
3377,Data Analyst,"Excel, SQL, Power BI, Data Cleaning, Reporting"
3378,Data Analyst,"Reporting, Power BI, Data Cleaning, SQL, Excel"
3379,ML Engineer,"PyTorch, Computer Vision, Cloud, Python, Keras, MLOps, TensorFlow"
3380,Data Analyst,"Machine Learning, Deep Learning, Python, NLP, SQL"
3381,Data Analyst,"Reporting, Power BI, SQL, Tableau, Data Cleaning"
3382,Data Analyst,"Power BI, Reporting, Tableau, Excel, Data Cleaning"
3383,Software Engineer,"Java, System Design, Spring Boot, Docker, Git, REST APIs, Agile"
3384,Data Analyst,"Machine Learning, NLP, SQL"
3385,Product Manager,"Product Roadmap, Stakeholder Management, Agile, User Stories, Scrum"
3386,Product Manager,"Stakeholder Management, Agile, User Stories, Product Roadmap, Scrum"
3387,Data Analyst,"Reporting, Tableau, Excel"
3388,Data Analyst,"Python, Pandas, Deep Learning, NLP, Machine Learning, SQL, Statistics"
3389,Software Engineer,"REST APIs, Java, Docker, Git, Spring Boot, System Design"
3390,Software Engineer,"Spring Boot, Docker, Agile, Java, System Design, REST APIs, Git"
3391,Software Engineer,"REST APIs, Git, Docker, Java, Spring Boot"
3392,Data Analyst,"SQL, Statistics, Python, NLP"
3393,ML Engineer,"Computer Vision, Keras, Python"
3394,Data Analyst,"Pandas, Machine Learning, Statistics, Deep Learning"
3395,Data Analyst,"Excel, Reporting, Tableau, Data Cleaning"
3396,Data Analyst,"NLP, Pandas, Deep Learning, Python, Machine Learning, SQL, Statistics"
3397,Product Manager,"Stakeholder Management, Agile, User Stories, Scrum"
3398,Product Manager,"Stakeholder Management, User Stories, Product Roadmap"
3399,Software Engineer,"Agile, REST APIs, Docker, Java"
3400,Data Analyst,"Reporting, Power BI, SQL, Tableau, Data Cleaning"
3401,Product Manager,"Scrum, Agile, Product Roadmap, Stakeholder Management, User Stories"
3402,Product Manager,"Stakeholder Management, Product Roadmap, Scrum, Agile, User Stories"
3403,Software Engineer,"REST APIs, Docker, Spring Boot, Agile, Java, Git, System Design"
3404,Data Analyst,"Excel, Data Cleaning, Power BI"
3405,Data Analyst,"Reporting, SQL, Data Cleaning, Excel"
3406,Software Engineer,"REST APIs, Agile, Docker, Git, Java, Spring Boot, System Design"
3407,Software Engineer,"Agile, REST APIs, Git"
3408,Data Analyst,"SQL, Python, NLP, Machine Learning, Statistics, Deep Learning"
3409,Product Manager,"Scrum, Product Roadmap, Stakeholder Management, Agile"
3410,Data Analyst,"Machine Learning, Pandas, Statistics, NLP, SQL, Python"
3411,Product Manager,"Scrum, Stakeholder Management, User Stories"
3412,Data Analyst,"Deep Learning, NLP, Pandas, SQL, Statistics"
3413,Data Analyst,"Machine Learning, NLP, Python"
3414,Data Analyst,"Tableau, Reporting, Excel, SQL, Power BI, Data Cleaning"
3415,ML Engineer,"Python, PyTorch, Computer Vision, TensorFlow, Keras"
3416,Software Engineer,"Git, Agile, Java, REST APIs, System Design, Spring Boot"
3417,Product Manager,"Product Roadmap, User Stories, Scrum, Agile, Stakeholder Management"
3418,Product Manager,"Scrum, User Stories, Agile, Product Roadmap, Stakeholder Management"
3419,Data Analyst,"SQL, Deep Learning, Machine Learning"
3420,Product Manager,"Scrum, Agile, Product Roadmap, User Stories, Stakeholder Management"
3421,Software Engineer,"Spring Boot, Git, System Design, Java, Agile"
3422,ML Engineer,"TensorFlow, MLOps, PyTorch, Cloud, Computer Vision, Python"
3423,Data Analyst,"Tableau, Excel, Reporting, Data Cleaning, Power BI, SQL"
3424,Software Engineer,"Java, Docker, System Design, Spring Boot"
3425,ML Engineer,"MLOps, Cloud, Python, PyTorch, TensorFlow, Keras, Computer Vision"
3426,ML Engineer,"MLOps, Cloud, Keras, PyTorch, TensorFlow, Python"
3427,Product Manager,"Agile, Scrum, Stakeholder Management, Product Roadmap"
3428,Data Analyst,"Statistics, SQL, Pandas"
3429,Product Manager,"User Stories, Stakeholder Management, Agile, Product Roadmap, Scrum"
3430,ML Engineer,"Cloud, PyTorch, TensorFlow, Computer Vision, MLOps, Python"
3431,ML Engineer,"Python, Computer Vision, MLOps, Keras, PyTorch, Cloud"
3432,Product Manager,"Stakeholder Management, Agile, User Stories, Scrum"
3433,Software Engineer,"Agile, Git, Docker, REST APIs"
3434,Data Analyst,"Reporting, Data Cleaning, SQL, Power BI, Excel, Tableau"
3435,Software Engineer,"System Design, Agile, Java, Git, REST APIs, Docker, Spring Boot"
3436,Product Manager,"User Stories, Stakeholder Management, Scrum"
3437,Data Analyst,"SQL, Tableau, Excel, Data Cleaning"
3438,Data Analyst,"Power BI, Reporting, Tableau, Excel, SQL, Data Cleaning"
3439,Data Analyst,"Excel, SQL, Reporting"
3440,Product Manager,"Product Roadmap, Agile, Scrum, Stakeholder Management"
3441,ML Engineer,"Cloud, MLOps, TensorFlow"
3442,Software Engineer,"Spring Boot, REST APIs, Agile"
3443,Data Analyst,"Excel, SQL, Power BI, Tableau, Reporting"
3444,Data Analyst,"Statistics, Pandas, SQL, Deep Learning"
3445,ML Engineer,"MLOps, TensorFlow, Computer Vision"
3446,Data Analyst,"Python, NLP, Statistics, SQL"
3447,Software Engineer,"Docker, Agile, Git, REST APIs, Java, System Design"
3448,Data Analyst,"Excel, Reporting, Data Cleaning"
3449,Data Analyst,"Deep Learning, Statistics, SQL, NLP, Pandas"
3450,Data Analyst,"Reporting, Data Cleaning, SQL, Tableau"
3451,Product Manager,"Product Roadmap, Agile, Stakeholder Management"
3452,Software Engineer,"REST APIs, System Design, Java"
